language,fold,cost_scheme,budget_fraction,budget,strategy,covered,total,coverage_percent,selected_count,selected_cost,coverage_std
Java,4,exponential,0.1,7.8,frequency,15.0,129,11.627906976744185,3.0,7.0,
Java,4,exponential,0.1,7.8,frequency_per_cost,15.0,129,11.627906976744185,3.0,7.0,
Java,4,exponential,0.1,7.8,cheap_first,9.0,129,6.976744186046512,7.0,7.0,
Java,4,exponential,0.1,7.8,exact_cost_aware,15.0,129,11.627906976744185,3.0,7.0,
Java,4,exponential,0.1,7.8,random,5.629,129,4.363565891472868,4.442,7.0,2.332343065691239
Java,4,exponential,0.2,15.6,frequency,47.0,129,36.434108527131784,4.0,15.0,
Java,4,exponential,0.2,15.6,frequency_per_cost,27.0,129,20.930232558139537,8.0,15.0,
Java,4,exponential,0.2,15.6,cheap_first,14.0,129,10.852713178294573,14.0,14.0,
Java,4,exponential,0.2,15.6,exact_cost_aware,47.0,129,36.434108527131784,4.0,15.0,
Java,4,exponential,0.2,15.6,random,12.719,129,9.85968992248062,7.583,15.0,5.362407843316914
Java,4,exponential,0.3,23.4,frequency,53.0,129,41.08527131782946,5.0,23.0,
Java,4,exponential,0.3,23.4,frequency_per_cost,65.0,129,50.3875968992248,9.0,23.0,
Java,4,exponential,0.3,23.4,cheap_first,25.0,129,19.37984496124031,18.0,22.0,
Java,4,exponential,0.3,23.4,exact_cost_aware,65.0,129,50.3875968992248,9.0,23.0,
Java,4,exponential,0.3,23.4,random,21.435000000000006,129,16.616279069767444,10.748,23.0,7.746728506945838
Java,4,exponential,0.4,31.2,frequency,72.0,129,55.81395348837209,10.0,31.0,
Java,4,exponential,0.4,31.2,frequency_per_cost,76.0,129,58.91472868217054,14.0,31.0,
Java,4,exponential,0.4,31.2,cheap_first,27.0,129,20.930232558139537,22.0,30.0,
Java,4,exponential,0.4,31.2,exact_cost_aware,72.0,129,55.81395348837209,13.0,31.0,
Java,4,exponential,0.4,31.2,random,31.651,129,24.535658914728682,14.11,31.0,10.137276886563017
Java,4,exponential,0.5,39.0,frequency,73.0,129,56.58914728682171,11.0,39.0,
Java,4,exponential,0.5,39.0,frequency_per_cost,83.0,129,64.34108527131782,17.0,39.0,
Java,4,exponential,0.5,39.0,cheap_first,36.0,129,27.906976744186046,26.0,38.0,
Java,4,exponential,0.5,39.0,exact_cost_aware,83.0,129,64.34108527131782,17.0,39.0,
Java,4,exponential,0.5,39.0,random,42.76,129,33.14728682170543,17.163,39.0,11.777059147922836
Java,4,steep,0.1,10.4,frequency,15.0,129,11.627906976744185,3.0,10.0,
Java,4,steep,0.1,10.4,frequency_per_cost,14.0,129,10.852713178294573,8.0,10.0,
Java,4,steep,0.1,10.4,cheap_first,11.0,129,8.527131782945736,10.0,10.0,
Java,4,steep,0.1,10.4,exact_cost_aware,15.0,129,11.627906976744185,3.0,10.0,
Java,4,steep,0.1,10.4,random,5.999,129,4.6503875968992245,4.567,10.0,2.956482291429735
Java,4,steep,0.2,20.8,frequency,47.0,129,36.434108527131784,4.0,20.0,
Java,4,steep,0.2,20.8,frequency_per_cost,29.0,129,22.48062015503876,11.0,20.0,
Java,4,steep,0.2,20.8,cheap_first,22.0,129,17.05426356589147,16.0,20.0,
Java,4,steep,0.2,20.8,exact_cost_aware,47.0,129,36.434108527131784,4.0,20.0,
Java,4,steep,0.2,20.8,random,13.027000000000003,129,10.098449612403103,7.703,20.0,5.392734467815151
Java,4,steep,0.3,31.2,frequency,59.0,129,45.736434108527135,6.0,31.0,
Java,4,steep,0.3,31.2,frequency_per_cost,65.0,129,50.3875968992248,10.0,31.0,
Java,4,steep,0.3,31.2,cheap_first,26.0,129,20.155038759689923,19.0,29.0,
Java,4,steep,0.3,31.2,exact_cost_aware,65.0,129,50.3875968992248,10.0,31.0,
